object_or_phrase	kind	scope	python_regex	total_lexical_occurrences	direct_result_occurrences	result_referenced_equation_occurrences	macro_expansion_carrier_occurrences	first_counted_occurrence	definition_or_semantic_expansion	burden_assessment	decision	limits_or_notes	result_locations_after_expansion	counted_sections
\mathfrak e_{\alpha,n}	notation	exported	\\mathfrak e_\{\\alpha,[nmN]\}	3	2	0	0	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:744	finite-dimensional stable mixing cost minimized over signed permutations	PASS: load-bearing	retain canonical name		sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:754; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:756	all
\mathcal G_\rho	notation	exported	\\mathcal G_\\rho	4	2	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:169	linear equivalence group {T:nu_T is equivalent to mu}	PASS: load-bearing	retain canonical name		sections/07-zero-set-row-condition-and-linear-equivalence.tex:169; sections/07-zero-set-row-condition-and-linear-equivalence.tex:182	07
\mathcal U	notation	exported	\\mathcal U(?![A-Za-z])	13	5	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:152	positivity set {x:f(x)>0}	PASS: load-bearing	retain canonical name		sections/07-zero-set-row-condition-and-linear-equivalence.tex:152; sections/07-zero-set-row-condition-and-linear-equivalence.tex:161; sections/07-zero-set-row-condition-and-linear-equivalence.tex:174; sections/07-zero-set-row-condition-and-linear-equivalence.tex:175; sections/07-zero-set-row-condition-and-linear-equivalence.tex:187	07
\rho^-	notation	exported	\\rho\^-	11	5	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:355	law of -X	PASS: load-bearing	retain canonical name		sections/07-zero-set-row-condition-and-linear-equivalence.tex:379; sections/07-zero-set-row-condition-and-linear-equivalence.tex:380; sections/07-zero-set-row-condition-and-linear-equivalence.tex:381; sections/07-zero-set-row-condition-and-linear-equivalence.tex:383	07
\Tail_n	notation	exported	\\Tail_[nmN](?![A-Za-z])	4	2	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:728	sum of forward and reverse finite-marginal ratio tails	PASS: load-bearing	retain canonical name		sections/07-zero-set-row-condition-and-linear-equivalence.tex:728; sections/07-zero-set-row-condition-and-linear-equivalence.tex:736	07
r_k	notation	exported	(?<![A-Za-z\\])r_k(?![A-Za-z])	5	2	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:560	block affinity Aff(lambda_k,eta_k)	PASS: load-bearing	retain canonical name		sections/07-zero-set-row-condition-and-linear-equivalence.tex:560; sections/07-zero-set-row-condition-and-linear-equivalence.tex:561	07
a_k,b_k	notation	exported	[ab]_k	36	17	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:292	the two common-support masses in the block criterion	PASS: load-bearing	retain canonical name	The broad scoped pattern also recognizes compact TeX products such as \prod_ka_k and a_kb_k.	sections/07-zero-set-row-condition-and-linear-equivalence.tex:555; sections/07-zero-set-row-condition-and-linear-equivalence.tex:556; sections/07-zero-set-row-condition-and-linear-equivalence.tex:560; sections/07-zero-set-row-condition-and-linear-equivalence.tex:574; sections/07-zero-set-row-condition-and-linear-equivalence.tex:576; sections/07-zero-set-row-condition-and-linear-equivalence.tex:583; sections/07-zero-set-row-condition-and-linear-equivalence.tex:619; sections/07-zero-set-row-condition-and-linear-equivalence.tex:621; sections/07-zero-set-row-condition-and-linear-equivalence.tex:622; sections/07-zero-set-row-condition-and-linear-equivalence.tex:629; sections/07-zero-set-row-condition-and-linear-equivalence.tex:630	07
rotational Fourier defect	terminology	exported	rotational\s+Fourier\s+defect	20	1	0	0	sections/01-introduction-and-main-results.tex:69	the scalar function R	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:60	all
weighted Fourier jet	terminology	exported	weighted\s+Fourier\s+jet	3	1	0	0	sections/01-introduction-and-main-results.tex:79	the curve u -> (u phi(u),phi'(u))	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:78	all
matrix Fisher operator	terminology	exported	matrix\s+Fisher\s+operator	9	3	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:6	the score-covariance operator mathcal I	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/03-finite-dimensional-hellinger-coercivity.tex:66; sections/03-finite-dimensional-hellinger-coercivity.tex:69; sections/07-zero-set-row-condition-and-linear-equivalence.tex:48	all
projected Hellinger energy	terminology	exported	projected\s+Hellinger\s+energy	10	1	0	0	sections/01-introduction-and-main-results.tex:103	the finite-output quantity E_n or E_{alpha,n}	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/04-measurable-realization-and-dichotomy.tex:202	all
finite-marginal likelihood ratios	terminology	exported	finite\-marginal\s+likelihood\s+ratios	6	2	0	0	sections/01-introduction-and-main-results.tex:218	the martingale of marginal density ratios	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/01-introduction-and-main-results.tex:218; sections/04-measurable-realization-and-dichotomy.tex:202	all
Hellinger coercivity	terminology	exported	Hellinger\s+coercivity	8	3	0	0	sections/01-introduction-and-main-results.tex:323	dimension-free comparison of Hellinger loss with matrix cost	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/03-finite-dimensional-hellinger-coercivity.tex:521; sections/03-finite-dimensional-hellinger-coercivity.tex:595; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:748	all
compatible stable row-series realization	terminology	exported	compatible\s+stable\s+row\-series\s+realization	8	2	0	0	sections/01-introduction-and-main-results.tex:289	a measurable stable row action with a two-sided row-series inverse	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:72; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:94	all
anisotropic mixing cost	terminology	exported	anisotropic\s+mixing\s+cost	9	1	0	0	sections/01-introduction-and-main-results.tex:26	mathfrak e_alpha	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:86	all
anisotropic stable Hellinger coercivity	terminology	exported	anisotropic\s+stable\s+Hellinger\s+coercivity	4	1	0	0	sections/01-introduction-and-main-results.tex:323	comparison with mathfrak e_{alpha,n}	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:748	all
zero-set row condition	terminology	exported	zero\-set\s+row\s+condition	24	1	0	0	sections/01-introduction-and-main-results.tex:29	forward and inverse rows avoid the density zero set almost surely	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/07-zero-set-row-condition-and-linear-equivalence.tex:154	all
linear equivalence group	terminology	exported	linear\s+equivalence\s+group	4	2	0	0	sections/07-zero-set-row-condition-and-linear-equivalence.tex:137	mathcal G_rho	PASS: load-bearing	retain canonical phrase	Whitespace-normalized, case-insensitive exact phrase count.	sections/07-zero-set-row-condition-and-linear-equivalence.tex:149; sections/07-zero-set-row-condition-and-linear-equivalence.tex:166	all
C_0,C_1	notation	proof-local	C_[01](?![A-Za-z])	0	0	0	0		constants local to the displayed estimate	SCOPED: proof-local binder; exported threshold does not apply	retain only as a scoped binder			all
C_\lambda	notation	proof-local	C_\\lambda	4	3	0	0	sections/04-measurable-realization-and-dichotomy.tex:31	second-moment domination constant for a locally fixed law	SCOPED: proof-local binder; exported threshold does not apply	retain only as a scoped binder		sections/04-measurable-realization-and-dichotomy.tex:31; sections/04-measurable-realization-and-dichotomy.tex:34; sections/04-measurable-realization-and-dichotomy.tex:39	04
\Gamma	notation	proof-local	\\Gamma(?![A-Za-z_])	5	3	0	0	sections/04-measurable-realization-and-dichotomy.tex:46	countable operator group in the realization proof	SCOPED: proof-local binder; exported threshold does not apply	retain only as a scoped binder		sections/04-measurable-realization-and-dichotomy.tex:46; sections/04-measurable-realization-and-dichotomy.tex:47; sections/04-measurable-realization-and-dichotomy.tex:52	04
L_a and its Borel representative	notation	proof-local	(?:\\widehat )?L_a	5	0	0	0	sections/04-measurable-realization-and-dichotomy.tex:58	row sum and selected Borel version	SCOPED: proof-local binder; exported threshold does not apply	retain only as a scoped binder			04
local cutoff/perturbation symbols	notation	proof-local	(?:r_0|\\Theta_u|\\mathcal M_u|N_\{\\mathrm\{open\}\})	14	0	0	0	sections/03-finite-dimensional-hellinger-coercivity.tex:289	binders confined to their construction	SCOPED: proof-local binder; exported threshold does not apply	retain only as a scoped binder			all
R_\mu	removed	removed	R_\\mu	0	0	0	0		the coordinate law is fixed; use R	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\Gamma_\mu	removed	removed	\\Gamma_\\mu	0	0	0	0		the explicit weighted Fourier jet replaces this alias	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\mathcal R_w	removed	removed	\\mathcal R_w	0	0	0	0		display the one-off integral instead	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\Sigma_f or \mathcal P_f	removed	removed	\\(?:Sigma|mathcal P)_f	0	0	0	0		use the canonical rho-admissible group mathcal P	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
d_{n,f}	removed	removed	d_\{n,f\}	0	0	0	0		the fixed-law suffix is redundant	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
Z_T	removed	removed	Z_T	0	0	0	0		use the likelihood-ratio family ell_T	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\Phi_T^{(\alpha)} or \nu_T^{(\alpha)}	removed	removed	\\(?:Phi|nu)_T\^\{\(\\alpha\)\}	0	0	0	0		use alpha as the first subscript	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\widehat\rho_\alpha	removed	removed	\\widehat\{?\\rho\}?_\\alpha	0	0	0	0		display the characteristic function directly	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\mathcal C_\alpha	removed	removed	\\mathcal C_\\alpha	0	0	0	0		expand the stable column condition	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
\mathcal E_{\alpha,n}	removed	removed	\\mathcal E_\{?\\alpha,n\}?	0	0	0	0		use mathfrak e_{alpha,n}	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
inverse-adjoint shorthand	removed	removed	(?:T|A)\^\{-(?:\\ast|\*)\}	0	0	0	0		write ((T^{-1})^*) or ((A^{-1})^*)	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
left signed-permutation normalization	removed	removed	Q\^\{-1\}T	0	0	0	0		use the paper's canonical right normalization TQ^{-1}	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
D_n(M) ratio-tail alias	removed	removed	D_n\(M\)	0	0	0	0		use Tail_n(M), reserving D for diagonal objects	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
historical restricted names	removed	removed	(?i)restricted[-_:]	0	0	0	0		use theorem-specific semantic names	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
proof-process terminology	removed	removed	(?i)(?:fractional column necessity|global signed-permutation match|rare-source (?:estimate|construction)|tail sign symmetry|sign-cut argument|uniform receiver)	0	0	0	0		describe the mathematical step rather than naming proof chronology	PASS: absent	zero occurrences required	A match indicates that a superseded name has returned.		all
